片名	上映年份	评分	评价人数	导演	编剧	主演	类型	国家/地区	语言	时长(分钟)
春光乍泄	1997	8.9	503033	王家卫	王家卫	张国荣 / 梁朝伟 / 张震 / 格利高里·戴顿	剧情 / 爱情 / 同性	中国	粤语 	96
哈利·波特与死亡圣器(下)	2011	8.9	625845	大卫·叶茨	史蒂夫·克洛夫斯 / J·K·罗琳	丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 海伦娜·伯翰·卡特 / 拉尔夫·费因斯 / 艾伦·瑞克曼 / 玛吉·史密斯 / 汤姆·费尔顿 / 邦妮·怀特 / 朱丽·沃特斯 / 迈克尔·刚本 / 伊文娜·林奇 / 多姆纳尔·格里森 / 克蕾曼丝·波西 / 詹森·艾萨克 / 海伦·麦克洛瑞 / 马修·刘易斯 / 梁佩诗 / 约翰·赫特 / 大卫·休里斯 / 加里·奥德曼 / 吉姆·布劳德本特 / 艾玛·汤普森 / 娜塔丽·特纳 / 蒂莫西·斯波 / 大卫·布拉德利 / 罗彼·考特拉尼 / 凯莉·麦克唐纳 / 塞伦·希德	奇幻 / 冒险	美国	英语	130
摩登时代	1936	9.3	231936	查理·卓别林	查理·卓别林	查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼 / 蒂尼·桑福德 / 切斯特·康克林 / 汉克·曼 / 斯坦利·布莱斯通 / 阿尔·欧内斯特·加西亚 / 理查德·亚历山大 / 塞西尔·雷诺兹 / 米拉·麦金尼 / 默多克·麦夸里 / 威尔弗雷德·卢卡斯 / 爱德华·勒桑 / 弗雷德·马拉泰斯塔 / 萨米·斯坦 / 特德·奥利弗 / 诺曼·安斯利 / 博比·巴伯 / 海尼·康克林 / 格洛丽亚·德黑文 / 帕特·弗莱厄蒂 / 弗兰克·哈格尼 / 帕特·哈蒙 / 劳埃德·英格拉哈姆 / 沃尔特·詹姆斯 / 爱德华·金博尔 / 杰克·洛 / 巴迪·梅辛杰 / 布鲁斯·米切尔 / 弗兰克·莫兰 / 詹姆斯·C·莫顿 / 路易·纳托 / J·C·纽金特 / 拉斯·鲍威尔 / 约翰兰德 / 哈里·威尔逊	剧情 / 喜剧 / 爱情	美国	英语	87
被嫌弃的松子的一生	2006	8.9	592490	中岛哲也	中岛哲也 / 山田宗树	中谷美纪 / 永山瑛太 / 香川照之 / 市川实日子 / 伊势谷友介 / 柄本明 / 黑泽明日香 / 荒川良良 / 柴崎幸 / 土屋安娜 / 奥之矢佳奈 / 谷原章介 / 武田真治 / 片平渚 / 宫藤官九郎 / 角野卓造 / 田中要次 / 木村凯拉 / 谷中敦 / 剧团一人	剧情 / 歌舞	日本	日语	130
喜剧之王	1999	8.8	772509	周星驰 / 李力持	曾瑾昌 / 周星驰 / 李敏 / 郑文辉 / 冯勉恒 / 梁嘉杰	周星驰 / 张柏芝 / 莫文蔚 / 吴孟达 / 林子善 / 田启文 / 李兆基 / 成龙 / 李思捷 / 郑文辉	剧情 / 喜剧 / 爱情	中国	粤语	89
致命ID	2003	8.8	643923	詹姆斯·曼高德	迈克尔·库尼	约翰·库萨克 / 雷·利奥塔 / 阿曼达·皮特 / 约翰·浩克斯 / 阿尔弗雷德·莫里纳 / 克里·杜瓦尔 / 约翰·C·麦金雷 / 威廉姆·李·斯科特 / 杰克·布塞 / 普路特·泰勒·文斯 / 瑞贝卡·德·莫妮 / 卡门·阿尔根齐亚诺 / 马绍尔·贝尔 / 莱拉·肯泽尔 / 马特·莱斯切尔 / 布莱特·罗尔 / 霍尔姆斯·奥斯本 / 弗雷德里克·科芬 / 乔·哈特 / 迈克尔·赫希 / 泰伦斯·伯尼·海恩斯 	剧情 / 悬疑 / 惊悚	美国	英语	90
杀人回忆	2003	8.9	545015	奉俊昊	奉俊昊 / 金光林 / 沈成宝	宋康昊 / 金相庆 / 金雷夏 / 宋在浩 / 边熙峰 / 高瑞熙 / 柳泰浩 / 朴努植 / 朴海日 / 全美善 / 徐永_ / 崔钟律 / 刘承睦 / 申贤宗 / 李在应 / 郑仁仙 / 吴龙 / 朴真宇 / 朴泰京 / 沈成宝	剧情 / 动作 / 悬疑 / 惊悚 / 犯罪	韩国	韩语 	132
剪刀手爱德华	1990	8.7	885475	蒂姆·波顿	蒂姆·波顿 / 卡罗琳·汤普森	约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特 / 安东尼·迈克尔·豪尔 / 凯西·贝克 / 罗伯特·奥利维里 / 康查塔·费雷尔 / 卡罗琳·阿隆 / 迪克·安东尼·威廉姆斯 / 澳澜·琼斯 / 文森特·普莱斯 / 艾伦·阿金 / 苏珊·布洛马特 / 约翰·戴维森 / 布莱恩·拉肯 / Victoria Price / Stuart Lancaster / Gina Gallagher / 阿隆·鲁斯汀 / 阿兰·弗吉 / 史蒂文·布里尔 / Peter Palmer / 马克·麦考利 / 唐娜·派洛尼 / Ken DeVaul / Kathy Dombo / Tabetha Thomas / 尼克·卡特	剧情 / 爱情 / 奇幻	美国	英语	105
加勒比海盗	2003	8.8	703791	戈尔·维宾斯基	泰德·艾略特 / 特里·鲁西奥 / 斯图尔特·贝亚蒂耶 / 杰·沃尔伯特	约翰尼·德普 / 杰弗里·拉什 / 奥兰多·布鲁姆 / 凯拉·奈特莉 / 杰克·达文波特 / 乔纳森·普雷斯	动作 / 奇幻 / 冒险	美国	英语	143
勇敢的心	1995	8.9	484179	梅尔·吉布森	兰道尔·华莱士	梅尔·吉布森 / 苏菲·玛索 / 布莱恩·考克斯 / 詹姆斯·科兹莫 / 辛·劳洛 / 凯瑟琳·麦克马克 / 安古斯·麦克菲登	剧情 / 动作 / 传记 / 历史 / 战争	美国	英语 	178
狩猎	2012	9.1	299592	托马斯·温特伯格	托马斯·温特伯格 / 托比亚斯·林道赫姆	麦斯·米科尔森 / 托玛斯·博·拉森 / 安妮卡·韦德科普 / 拉丝·弗格斯托姆 / 苏西·沃德 / 安妮·路易丝·哈辛 / 拉斯·兰特 / 亚历山德拉·拉帕波特	剧情	丹麦 	丹麦语 	110
请以你的名字呼唤我	2017	8.9	540684	卢卡·瓜达尼诺	詹姆斯·伊沃里 / 安德列·艾席蒙	艾米·汉莫 / 蒂莫西·柴勒梅德 / 迈克尔·斯图巴 / 阿蜜拉·卡萨 / 艾斯特·加瑞尔 / 维克图瓦尔·杜布瓦 / 旺妲·卡布里奥罗 / 安东尼奥·里莫尔迪 / 埃琳娜·布奇 / 马可·斯格罗索 / 安德列·艾席蒙 / 彼得·斯皮尔斯	剧情 / 爱情 / 同性	意大利	英语 	132
天使爱美丽	2001	8.7	837850	让-皮埃尔·热内	纪尧姆·洛朗 / 让-皮埃尔·热内	奥黛丽·塔图 / 马修·卡索维茨 / 吕菲斯 / 洛莱拉·克拉沃塔 / 塞尔日·梅兰 / 贾梅尔·杜布兹 / 克洛蒂尔德·莫勒 / 克莱尔·莫里耶 / 伊莎贝尔·南蒂 / 多米尼克·皮侬 / 阿尔蒂斯·德·彭居埃恩 / 友兰达·梦露 / 于尔班·康塞利埃 / 莫里斯·贝尼舒 / 米歇尔·罗班 / 安德烈·达芒 / 克洛德·佩隆 / 阿尔梅尔 / 迪基·奥尔加多 / Kevin Fernandes / 弗洛拉·吉耶 / 阿莫里·巴博尔 / 欧仁·贝蒂埃 / 让·达里 / 马克·阿米约	剧情 / 喜剧 / 爱情	法国	法语 	122
断背山	2005	8.8	589633	李安	拉里·麦克穆特瑞 / 黛安娜·奥撒纳 / 安妮·普鲁	希斯·莱杰 / 杰克·吉伦哈尔 / 米歇尔·威廉姆斯 / 安妮·海瑟薇 / 凯特·玛拉 / 兰迪·奎德 / 琳达·卡德里尼 / 安娜·法瑞丝 / 格拉汉姆·贝克尔 / 斯科特·迈克尔·坎贝尔 / 大卫·哈伯 / 罗伯塔·马克斯韦尔 / 皮特·麦克罗比 / 夏恩·希尔 / 布鲁克琳·普劳克斯 / 杰克·丘奇	剧情 / 爱情 / 同性 / 家庭	美国	英语	134
红辣椒	2006	9.0	339207	今敏	水上清资 / 今敏 / 筒井康隆	林原惠美 / 江守彻 / 堀胜之_ / 古谷彻 / 大_明夫 / 山寺宏一 / 田中秀幸 / 兴_里美 / 岩田光央 / 爱河里花子 / 川濑晶子 / 太田真一郎 / 福松进纱 / 胜杏里 / 宫下荣治 / 三户耕三 / 今敏 / 筒井康隆	科幻 / 动画 / 悬疑 / 惊悚	日本	日语	90
7号房的礼物	2013	8.9	435714	李焕庆	李焕庆 / 刘英雅	柳承龙 / 朴信惠 / 郑镇荣 / 金正泰 / 吴达洙 / 朴元尚 / 郑满植 / 葛素媛	剧情 / 喜剧 / 家庭	韩国	韩语	127
幽灵公主	1997	8.9	435126	宫崎骏	宫崎骏	松田洋治 / 石田百合子 / 田中裕子 / 小林薰 / 西村雅彦 / 上条恒彦 / 岛本须美 / 渡边哲 / 佐藤允 / 名古屋章 / 美轮明宏 / 森光子 / 森繁久弥	动画 / 奇幻 / 冒险	日本	日语	134
小森林	2014	9.0	341623	森淳一	森淳一 / 五十岚大介	桥本爱 / 三浦贵大 / 松冈茉优 / 温水洋一 / 桐岛加恋	剧情	日本	日语	111
第六感	1999	8.9	442504	M·奈特·沙马兰	M·奈特·沙马兰	布鲁斯·威利斯 / 海利·乔·奥斯蒙 / 托妮·科莱特 / 奥莉维亚·威廉姆斯 / 唐尼·沃尔伯格 / 特拉沃·摩根 / 彼得·安东尼·唐伯蒂斯 / 格伦·菲茨杰拉德 / 米莎·巴顿 / Lisa Summerour / 法尔德斯·巴姆 / 杰弗里·泽布尼斯	剧情 / 悬疑 / 惊悚	美国	英语 	107
阳光灿烂的日子	1994	8.8	501291	姜文	姜文 / 王朔	夏雨 / 宁静 / 陶虹 / 耿乐 / 斯琴高娃 / 冯小刚 / 刘小宁 / 姜文 / 王学圻 / 王朔 / 尚楠 / 方化 / 代少波 / 王海 / 姚二嘎 / 吴淑昆 / 左小青 / 韩冬 / 孙靖 / 刘斌 / 张维 / 杨彤林 / 王海 / 王福 / 胡贝贝 / 高保成 / 吴淑琨 / 张华 / 二勇 / 烈子 / 陈伟	剧情 / 爱情	中国	汉语普通话	134
重庆森林	1994	8.8	639120	王家卫	王家卫	林青霞 / 金城武 / 梁朝伟 / 王菲 / 周嘉玲	剧情 / 爱情	中国	粤语 	102
唐伯虎点秋香	1993	8.7	845914	李力持	李力持 / 谷德昭 / 陈文强	周星驰 / 巩俐 / 陈百祥 / 郑佩佩 / 朱咪咪 / 梁家仁 / 苑琼丹 / 梁荣忠 / 黄一山 / 黄_ / 吴镇宇 / 刘家辉 / 蓝洁瑛 / 谷德昭 / 陈辉虹 / 李健仁 / 宣萱 / 温翠苹	喜剧 / 爱情 / 古装	中国	粤语	102
超脱	2011	8.9	392204	托尼·凯耶	卡尔·隆德	艾德里安·布洛迪 / 马西娅·盖伊·哈登 / 詹姆斯·肯恩 / 克里斯蒂娜·亨德里克斯 / 刘玉玲 / 布莱思·丹纳 / 蒂姆·布雷克·尼尔森 / 威廉·彼德森 / 布莱恩·科兰斯顿 / 萨米·盖尔 / Louis Zorich / 小伊塞亚·维特洛克 / 大卫·豪森 / 约翰·塞纳迭姆博 / 西莉亚·奥 / 罗南·鲁宾斯坦 / 阿尔·卡尔德隆 / 布雷南·布朗 / Reagan Leonard / 詹姆斯·霍西 / 乔什·帕斯 / 瑞内·菲利斯·史密斯 / 道格·伊·道格 / Patricia Rae / 萨曼萨·罗根 / 拉尔夫·罗德里格斯	剧情	美国	英语	97
功夫	2004	8.7	816184	周星驰	曾瑾昌 / 陈文强 / 周星驰 / 霍昕	周星驰 / 元秋 / 元华 / 黄圣依 / 梁小龙 / 陈国坤 / 田启文 / 林子聪 / 林雪 / 冯克安 / 释彦能 / 冯小刚 / 袁祥仁 / 张一白 / 赵志凌 / 董志华 / 何文辉 / 陈凯师 / 贾康熙 / 林子善 / 任珈锐 / 王仕颖	喜剧 / 动作 / 犯罪 / 奇幻	中国	粤语 	100
爱在黎明破晓前	1995	8.8	498285	理查德·林克莱特	理查德·林克莱特 / 金·克里桑	伊桑·霍克 / 朱莉·德尔佩 / 安德莉亚·埃克特 / 汉诺·波西尔 / Karl Bruckschwaiger / Tex Rubinowitz / 埃尔尼·曼戈尔德 / Dominik Castell / Haymon Maria Buttinger / Harald Waiglein / 汉斯·魏因加特纳 / Peter Ily Huemer / Hubert Fabian Kulterer / 约翰·斯洛斯 / Christian Ankowitsch / 亚当·戈德堡 / Paul Poet	剧情 / 爱情	美国	英语 	101
小森林	2015	9.0	306686	森淳一	森淳一 / 五十岚大介	桥本爱 / 三浦贵大 / 松冈茉优 / 温水洋一 / 桐岛加恋	剧情	日本	日语	120
入殓师	2008	8.9	477947	泷田洋二郎	小山薰堂	本木雅弘 / 广末凉子 / 山崎努 / 吉行和子 / _野高史 / 余贵美子	剧情	日本	日语	130
一一	2000	9.1	286655	杨德昌	杨德昌	吴念真 / 李凯莉 / 金燕玲 / 张洋洋 / 萧淑慎 / 尾形一成 / 陈希圣 / 林孟瑾 / 陈以文 / 柯宇纶 / 张育邦 / 柯素云 / 唐如韫 / 徐淑媛 / 曾心怡 / 陶传正	剧情 / 爱情 / 家庭	中国	汉语普通话 	173
蝙蝠侠：黑暗骑士崛起	2012	8.8	578557	克里斯托弗·诺兰	大卫·S·高耶 / 乔纳森·诺兰 / 克里斯托弗·诺兰	克里斯蒂安·贝尔 / 汤姆·哈迪 / 安妮·海瑟薇 / 约瑟夫·高登-莱维特 / 玛丽昂·歌迪亚 / 加里·奥德曼 / 迈克尔·凯恩 / 摩根·弗里曼 / 朱诺·坦普尔 / 乔什·平茨 / 丹尼尔·逊亚塔 / 内斯特·卡博内尔 / 伯恩·戈曼 / 连姆·尼森 / 乔伊·金 / 艾丹·吉伦 / 基里安·墨菲 / 乔什·斯图沃特 / 马修·莫迪恩 / 本·门德尔森	剧情 / 动作 / 科幻 / 惊悚 / 犯罪	美国	英语 	165
消失的爱人	2014	8.7	725415	大卫·芬奇	吉莉安·弗琳	本·阿弗莱克 / 裴淳华 / 尼尔·帕特里克·哈里斯 / 凯莉·库恩 / 泰勒·派瑞 / 金·迪肯斯 / 米西·派勒 / 波伊德·霍布鲁克 / 艾米丽·拉塔科斯基 / 雪拉·渥德 / 派屈克·福吉特 / 斯科特·麦克纳里 / 凯西·威尔逊 / 李·诺里斯	剧情 / 悬疑 / 惊悚 / 犯罪	美国	英语	149
菊次郎的夏天	1999	8.8	457770	北野武	北野武	北野武 / 关口雄介 / 岸本加世子 / 吉行和子 / 细川典江 / 大家由_子 / 磨赤儿 / 铃木忠幸 / 井手博士 / 今村鼠 / 兼子二郎 / 田中要次 / 小岛可奈子	剧情 / 喜剧	日本	日语	121
人生果实	2017	9.5	132229	伏原健之	津端修一 / 津端英子 / 树木希林	纪录片	life-is-fruity.com	日本	日语	91
侧耳倾听	1995	8.9	371774	近藤喜文	宫崎骏 / _葵	本名阳子 / 小林桂树 / 高山南 / 高桥一生 / 山下容莉枝 / 室井滋 / 露口茂 / 饭冢雅弓	剧情 / 爱情 / 动画	日本	日语 	111
无人知晓	2004	9.1	233881	是枝裕和	是枝裕和	柳乐优弥 / 北浦爱 / 木村飞影 / 清水萌萌子 / 韩英惠 / 江原由希子 / 串田和美 / 冈元夕纪子 / _隆子 / 加濑亮 / 村野友希 / 田中庆太 / 木村佑一 / 远藤宪一 / 寺岛进 / 平泉成	剧情	日本	日语	141
超能陆战队	2014	8.7	810643	唐·霍尔 / 克里斯·威廉姆斯	乔丹·罗伯茨 / 丹尼尔·吉尔森 / 罗伯特·L·贝尔德	斯科特·安第斯 / 瑞恩·波特 / 丹尼尔·海尼 / T·J·米勒 / 杰米·钟 / 小达蒙·韦恩斯 / 珍尼希斯·罗德里格兹 / 詹姆斯·克伦威尔 / 艾伦·图代克 / 玛娅·鲁道夫 / 亚布拉哈姆·本鲁比 / 凯蒂·洛斯 / 比利·布什 / 丹尼尔·吉尔森 / 保罗·布里格斯	喜剧 / 动作 / 科幻 / 动画 / 冒险	美国	英语	102
倩女幽魂	1987	8.7	591835	程小东	阮继志	张国荣 / 王祖贤 / 午马 / 刘兆铭 / 林威 / 薛芷伦 / 胡大为 / 王晶	爱情 / 奇幻 / 武侠 / 古装	中国	粤语	98
甜蜜蜜	1996	8.9	420172	陈可辛	岸西	黎明 / 张曼玉 / 杨恭如 / 曾志伟 / 杜可风 / 张同祖 / 诸慧荷 / 丁羽	剧情 / 爱情	中国	粤语 	118
借东西的小人阿莉埃蒂	2010	8.8	440020	米林宏昌	宫崎骏 / 丹羽圭子 / 玛丽·诺顿	志田未来 / 神木隆之介 / 树木希林 / 三浦友和 / 大竹忍 / 竹下景子 / 藤原龙也	动画 / 奇幻 / 冒险	日本	日语	94
萤火之森	2011	8.9	413146	大森贵弘	绿川幸	佐仓绫音 / 内山昂辉 / _亲八 / 山本兼平 / 后藤弘树 / 今井麻美	剧情 / 爱情 / 动画 / 奇幻	日本	日语	45
哈利·波特与阿兹卡班的囚徒	2004	8.8	497188	阿方索·卡隆	史蒂夫·克洛夫斯 / J·K·罗琳	丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 加里·奥德曼 / 朱丽·沃特斯 / 邦妮·怀特 / 大卫·休里斯 / 迈克尔·刚本 / 艾伦·瑞克曼 / 玛吉·史密斯 / 汤姆·费尔顿 / 艾玛·汤普森 / 朱莉·克里斯蒂 / 蒂莫西·斯波	奇幻 / 冒险	英国	英语	141
完美的世界	1993	9.1	224225	克林特·伊斯特伍德	约翰·李·汉考克	凯文·科斯特纳 / 劳拉·邓恩 / 克林特·伊斯特伍德 / T·J·劳瑟 / 基斯·斯扎拉巴基克	剧情 / 犯罪	美国	英语	138
爱在日落黄昏时	2004	8.8	415674	理查德·林克莱特	理查德·林克莱特 / 朱莉·德尔佩 / 伊桑·霍克 / 金·克里桑	伊桑·霍克 / 朱莉·德尔佩 / 弗农·多布切夫 / 路易丝·勒莫瓦纳·托雷斯 / 罗多尔·保利 / 玛丽安·普莱施泰格 / Diabolo / 丹尼·弗拉 / 艾伯特·德尔佩 / 玛丽·佩里	剧情 / 爱情	美国	英语 	80
驯龙高手	2010	8.7	617312	迪恩·德布洛斯 / 克里斯·桑德斯	威廉姆·戴维斯 / 迪恩·德布洛斯 / 克里斯·桑德斯 / 葛蕾熙达·柯维尔	杰伊·巴鲁切尔 / 杰拉德·巴特勒 / 克雷格·费格森 / 亚美莉卡·费雷拉 / 乔纳·希尔 / 克里斯托夫·梅兹-普莱瑟 / T·J·米勒 / 克里斯汀·韦格 / 罗宾·阿特金·唐斯 / 菲利普·麦格雷德 / 基隆·埃利奥特 / 阿什利·詹森 / 大卫·田纳特	动画 / 奇幻 / 冒险	美国	英语	98
玛丽和马克思	2009	8.9	361946	亚当·艾略特	亚当·艾略特	托妮·科莱特 / 菲利普·塞默·霍夫曼 / 巴瑞·哈姆弗莱斯 / 艾瑞克·巴纳 / 贝塔尼·维特莫尔 / 蕾妮·盖耶 / 伊恩·莫利·梅尔德伦 / 朱莉·福塞斯 / 约翰·弗劳思 / 克里斯托弗·马西 / 卡罗琳·莎士比亚-艾伦 / 琳恩·史密斯 / 迈克尔·延纳	剧情 / 喜剧 / 动画	澳大利亚	英语 	92
幸福终点站	2004	8.8	440640	史蒂文·斯皮尔伯格	安德鲁·尼科尔 / 萨沙·杰瓦西  / 杰夫·内桑森	汤姆·汉克斯 / 凯瑟琳·泽塔-琼斯 / 斯坦利·图齐 / 齐·麦克布赖德 / 迭戈·卢纳 / 巴里·沙巴卡·亨利 / 库玛·帕拉纳 / 佐伊·索尔达娜 / 埃迪·琼斯 / 祖德·塞克利拉 / 科瑞·雷诺兹 / 古列雷莫·迪亚兹 / 里尼·贝尔 / 瓦列里·尼古拉耶夫 / 迈克尔·诺里 / 鲍勃·莫里西 / 萨沙·斯皮尔伯格 / 苏珊·索洛米 / 卡尔利斯·布克 / 斯蒂芬·富勒 / 丹·芬纳蒂 / Lydia Blanco / 肯尼斯·崔 / 卡斯·安瓦尔 / 康拉德·皮拉 / 杜桑恩·杜基齐 / 马克·伊瓦涅 / Benny Golson / 斯科特·安第斯 / 罗伯特·科瓦吕比亚 / Dilva Henry / 卡尔艾拉切 / 哈亚提·阿克巴斯 / 艾力克斯·伯恩斯 / 埃莱娜·卡多纳 / Dan Chase / 查得·R·戴维斯 / Antonella Elia / Michael Eliopoulos / Marston Fobbs / Riad Galayini / 杰拉德·加纳 / 贾斯汀·罗杰斯豪尔 / Mohammed Hassan / Amber Havens / Ksenia Jarova / 巴里·朱利安 / Svilena Kidess / Zuzana Monroe / 艾丽西亚·奥奇瑟 / 本杰明·奥切恩格	剧情 / 喜剧 / 爱情	美国	英语 	128
告白	2010	8.7	577123	中岛哲也	中岛哲也 / 凑佳苗	松隆子 / 冈田将生 / 木村佳乃 / 西井幸人 / 桥本爱 / 芦田爱菜 / 三吉彩花 / 藤原薰 / 井之胁海 / 清水尚弥 / 高桥努 / 一井直树 / 能年玲奈 / 新井浩文 / 野本萤	剧情 / 悬疑	日本	日语	106
大鱼	2003	8.8	466023	蒂姆·波顿	Daniel Wallace / 约翰·奥古斯特	伊万·麦克格雷格 / 阿尔伯特·芬尼 / 比利·克鲁德普 / 杰西卡·兰格 / 海伦娜·伯翰·卡特 / 艾莉森·洛曼 / 罗伯特·吉尔劳姆 / 玛丽昂·歌迪亚 / 马修·麦克格罗里 / 大卫·丹曼 / 米西·派勒 / 卢顿·万恩怀特三世 / 艾达·泰 / 艾伦妮·泰 / 史蒂夫·布西密 / 丹尼·德维托 / 迪普·罗伊 / 海利·安妮·内尔森	剧情 / 家庭 / 奇幻 / 冒险	美国	英语 	125
阳光姐妹淘	2011	8.8	500983	姜炯哲	姜炯哲 / 李炳宪	沈恩京 / 闵孝琳 / 姜素拉 / 南宝拉 / 陈熙琼 / 金时厚 / 柳好贞 / 朴真珠 / 李妍京  / 金甫美 / 千禹熙 / 李_荣	剧情 / 喜剧	韩国	韩语	124
射雕英雄传之东成西就	1993	8.7	523878	刘镇伟	刘镇伟	梁朝伟 / 林青霞 / 张国荣 / 叶玉卿 / 张学友 / 王祖贤 / 张曼玉 / 梁家辉 / 刘嘉玲 / 钟镇涛 / 鲍起静	喜剧 / 奇幻 / 武侠 / 古装	中国	粤语	113
天书奇谭	1983	9.2	185157	王树忱 / 钱运达	王树忱 / 包蕾	丁建华 / 毕克 / 苏秀 / 程晓桦 / 施融 / 于鼎 / 杨成纯 / 孙渝烽 / 胡庆汉 / 尚华 / 刘广宁 / 乔榛 / 严崇德 / 伍经纬 / 童自荣 / 程玉珠 / 曹雷 / 王建新 / 杨文元 / 富润生 / 刘钦 / 刘风 / 翟巍 / 张欣 / 郭易峰 / 王肖兵	动画 / 奇幻	中国	汉语普通话	89
恐怖直播	2013	8.7	522231	金秉_	金秉_	河正宇 / 李_荣 / 全慧珍 / 李大卫 / 金弘波 / 崔正贤 / 崔代勋 / 姜信哲 / 韩成天 / 孙成灿 / 金素真 / 金大明 / 金海仁	剧情 / 悬疑 / 犯罪	韩国	韩语	97
怪兽电力公司	2001	8.7	528598	彼特·道格特 / 大卫·西尔弗曼 / 李·昂克里奇	安德鲁·斯坦顿 / 丹尼尔·吉尔森 / 罗伯特·L·贝尔德 / 瑞特·里斯 / 乔纳森·罗伯特  / 彼特·道格特 / 杰夫·皮金 / 吉尔·卡尔顿 / 拉夫·埃格尔斯顿	约翰·古德曼 / 比利·克里斯托 / 玛丽·吉布斯 / 史蒂夫·布西密 / 詹姆斯·柯本 / 詹妮弗·提莉 / 鲍勃·彼德森 / 约翰·拉岑贝格 / 弗兰克·奥兹 / 丹尼尔·吉尔森 / 邦尼·亨特 / 杰克·安杰尔 / 塞缪尔·洛德·布莱克 / 史蒂夫·萨斯坎德	喜剧 / 动画 / 儿童 / 奇幻 / 冒险	美国	英语	92
哈利·波特与密室	2002	8.7	521179	克里斯·哥伦布	史蒂夫·克洛夫斯 / J·K·罗琳	丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 汤姆·费尔顿 / 理查德·格雷弗斯 / 费奥纳·肖 / 托比·琼斯 / 朱丽·沃特斯 / 邦妮·怀特 / 詹森·艾萨克 / 肯尼思·布拉纳 / 艾伦·瑞克曼 / 理查德·哈里斯 / 玛吉·史密斯 / 约翰·克立斯 / 肖恩·比格斯代夫 / 克里斯·兰金 / 克里斯蒂安·库尔森	奇幻 / 冒险	美国	英语	161
神偷奶爸	2010	8.6	785582	皮埃尔·柯芬 / 克里斯·雷纳德	肯·道里欧 / 塞尔希奥·巴勃罗斯 / 辛科·保罗	史蒂夫·卡瑞尔 / 杰森·席格尔 / 拉塞尔·布兰德 / 朱莉·安德鲁斯 / 威尔·阿奈特 / 克里斯汀·韦格 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 艾尔西·费舍尔 / 皮埃尔·柯芬 / 克里斯·雷纳德 / 杰梅奈·克莱门特 / 杰克·麦克布瑞尔 / 丹尼·麦克布莱德 / 敏迪·卡灵 / 罗布·许贝尔 / 肯·道里欧 / 郑肯	喜剧 / 动画 / 冒险	美国	英语	95
玩具总动员3	2010	8.9	407967	李·昂克里奇	迈克尔·阿恩特 / 约翰·拉塞特 / 安德鲁·斯坦顿 / 李·昂克里奇	汤姆·汉克斯 / 蒂姆·艾伦 / 琼·库萨克 / 尼德·巴蒂 / 唐·里克斯 / 迈克尔·基顿	喜剧 / 动画 / 奇幻 / 冒险	美国	英语 	103
时空恋旅人	2013	8.8	469866	理查德·柯蒂斯	理查德·柯蒂斯	多姆纳尔·格里森 / 瑞秋·麦克亚当斯 / 比尔·奈伊 / 莉迪亚·威尔逊 / 琳赛·邓肯 / 理查德·科德里 / 约书亚·麦圭尔 / 汤姆·霍兰德 / 玛格特·罗比 / 维尔·梅里克 / 凡妮莎·柯比 / 汤姆·休斯 / 哈利·海顿-佩顿 / 米切尔·马伦 / 丽莎·艾科恩 / 珍妮·莱恩斯福德 / 菲利普-沃斯 / 凯瑟琳·斯戴曼 / 汤姆·斯托顿 / 安部春香 / 李·阿斯奎斯-柯 / 理查德·班克斯 / 保罗·布莱克维尔 / 贝恩·科拉科 / 格拉姆·柯里 / 罗薇娜·戴蒙德 / 约翰·达根 / 迪诺·法赞尼 / 内芙·加切夫 / 理查德·E·格兰特 / 理查德·格雷弗斯 / 李·尼古拉斯·哈里斯 / 理查德·赫德曼 / 李仙湖 / 马修·C·马蒂诺 / 马汀·麦格 / 艾莉克丝摩尔	喜剧 / 爱情 / 奇幻	英国	英语	123
傲慢与偏见	2005	8.6	627858	乔·赖特	简·奥斯汀 / 黛博拉·莫盖茨	凯拉·奈特莉 / 马修·麦克费登 / 唐纳德·萨瑟兰 / 布兰达·布莱斯 / 凯瑞·穆里根 / 裴淳华 / 吉娜·马隆 / 妲露拉·莱莉 / 朱迪·丹奇 / 西蒙·伍兹 / 克劳迪·布莱克利 / 汤姆·霍兰德 / 鲁伯特·弗兰德 / 凯利·蕾莉 / 皮普·托伦斯 / 西妮德·马修斯 / 佩内洛普·威尔顿 / 塔姆金·莫钦特	剧情 / 爱情	法国	英语	129
教父3	1990	8.9	283286	弗朗西斯·福特·科波拉	马里奥·普佐 / 弗朗西斯·福特·科波拉	阿尔·帕西诺 / 黛安·基顿 / 塔莉娅·夏尔 / 安迪·加西亚 / 埃里·瓦拉赫 / 乔·曼特纳 / 乔治·汉密尔顿 / 布里吉特·芳达 / 索菲亚·科波拉 / 雷夫·瓦朗 / 弗兰克·德安布罗西奥 / 敦尔·当纳利 / 理查德·布赖特 / 赫尔穆特·贝格 / 唐·诺韦洛	剧情 / 犯罪	美国	英语 	170
